,word,relevance_score
0,fetal,7.322233452918004
1,heartbeat,7.105260256477247
2,detected,5.9673110121662845
3,ultrasound,5.552765984388497
4,conceptus,5.4150821112928655
5,kasich,5.255188841868788
6,"""fetal",5.255188841868788
7,"""heartbeat",5.064447458605193
8,six-week,5.064447458605193
9,"heartbeat""",4.827859687145826
10,seago,4.515622883714386
11,embryo,4.448401888987289
12,incest,4.364658038826394
13,pregnancy,4.176194729619113
14,injunction,4.125317416214045
15,clinic,4.125317416214045
16,pregnancies,4.125317416214045
17,transvaginal,4.052718677203902
18,pro-women,4.052718677203902
19,obstetricians,4.052718677203902
20,abdominal,4.052718677203902
21,ob-gyn,4.052718677203902
22,keats,4.052718677203902
23,hearbeat,4.052718677203902
24,flickering,4.052718677203902
25,menstruation,4.052718677203902
26,"pregnancy""",4.052718677203902
27,detectable,4.052718677203902
28,gynecologists,4.052718677203902
29,"""supporters",4.052718677203902
30,conceptus',4.052718677203902
31,prefiled,4.052718677203902
32,detection,4.052718677203902
33,faithaction,4.052718677203902
34,"""work",4.052718677203902
35,tirelessly,4.052718677203902
36,nays,4.052718677203902
37,goforth,4.052718677203902
38,gietzen,4.052718677203902
39,abortion-rights,4.052718677203902
40,huppert,4.052718677203902
41,impairment,4.052718677203902
42,"act""",3.8074249720580253
43,gestation,3.8074249720580253
44,rapists,3.8074249720580253
45,"bill""",3.7939575355538477
46,raped,3.7126120212641065
47,pregnant,3.630932190245399
48,abortions,3.6307666351252084
49,bans,3.5658673207567455
